doc_id,dataset,split,min_confidence,mean_confidence,min_margin,mean_margin,n_fields,n_correct,n_recoverable,any_error,any_unrecoverable,address_prediction,company_prediction,date_prediction,total_prediction
X51005442338,SROIE,train,0.7939964337756367,0.9310348891594571,0.001706678098330916,0.014406309427051567,4,4.0,4.0,0.0,0.0,"PASAR MINI JIN SENG 379,JALAN PERMAS SATU, BANOAR BARU PERMAS JAYA",PASAR MINI JIN SENG,18/03/18,28.60
X51005442341,SROIE,train,3.8736342545457615e-07,0.7329490973491838,1.346047919775053e-07,0.25333303625782116,4,3.0,4.0,1.0,0.0,"K3-113,JL IBRAHIM SULTAN",RESTAURANT SIN DU,09/03/2018,149.00
X51005442344,SROIE,train,0.815255236117556,0.949630144088057,0.0012660191757914996,0.009227950914733551,4,3.0,4.0,1.0,0.0,"NO4,JALAN PERJIRANAN 10,",YONG TAT HARDWARE TRADING,13/03/2018,100.90
X51005442346,SROIE,train,0.44030242173767176,0.852331601530408,0.00023201627734537045,0.03142042247029757,4,2.0,4.0,1.0,0.0,PERNIAGAAN ZHENG HUI,PERNIAGAAN ZHENG HUI,15/03/2018,7.55
X51005442361,SROIE,train,0.1201448517827971,0.7379439825180043,0.0018367188047238026,0.012592748267280865,4,3.0,4.0,1.0,0.0,"LOT 50,FLOOR T2,SKY AVENUE GENTING HIGHLANDS",MORGANFIELD'S R HORNG OF SDCKY BONES TIME LESS KITCHENETTE SDN BHD,2018-03-23,593.10
X51005442376,SROIE,train,0.8990907310855331,0.9573637240652737,0.000266711685713239,0.22540457799429944,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,22 MAR 2018,7.60
X51005442378,SROIE,train,0.6741521841977672,0.9025111133693746,0.001097166787605186,0.24343660398544587,4,4.0,4.0,0.0,0.0,"PAGOH REST AND SERVICE AREA LOT R1,KWS REHAT & RAWAT PAGOH ARAH UTARA, SIMPANG AMPAT PAGOH,LEBUHRAYA UTARA SELATAN.,",TQ FOR SHOPPING WITH MYNEWS.COM PAGOH REST AND SERVICE AREA,23/03/2018,10.00
X51005442379,SROIE,train,0.9109294246883376,0.9599201168754214,0.00027360089648864605,0.22860112912302455,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,24 MAR 2018,9.20
X51005442383,SROIE,train,0.7932394970351211,0.9349135707675795,0.0002900534885310613,0.03850960409969825,4,3.0,4.0,1.0,0.0,"18,JALAN PERMAS 10/7 BANDAR BARU PERMAS JAYA,",CARREFOUR RESTAURANT,20/03/2018,0.00
X51005442384,SROIE,train,0.8904459140192936,0.9534232064141552,0.00045667391036463556,0.2231925270530293,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,19 MAR 2018,8.20
X51005442386,SROIE,train,0.8999878069861875,0.9564500678041485,0.000310612744218175,0.22564601338394538,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,21 MAR 2018,8.70
X51005442392,SROIE,train,0.8877648921393049,0.953191724275507,0.000177530050475605,0.2224471945764231,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,29 MAR 2018,7.10
X51005442394,SROIE,train,0.893979064609465,0.9547590581548624,0.0002703899339074889,0.22411262950925812,4,4.0,4.0,0.0,0.0,"12,JALAN TAMPOI 7/4,KAWASAN PERINDUSTRIAN",UNIHAKKA INTERNATIONAL SDN BHD,30 MAR 2018,8.20
X51005442397,SROIE,train,0.3003223801883251,0.823399174981042,3.5399462472440746e-08,0.013664934186247674,4,3.0,4.0,1.0,0.0,NO 14& 16 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAY,TRIPLE SIX POINT ENTERPRISE 666,25-03-2018 09:42:19 AM,1.0000
X51005444033,SROIE,train,0.8298298761534766,0.9386793091571046,0.0009051126740532434,0.24883979965151182,4,3.0,4.0,1.0,0.0,"PLAZA BATAI,DAMANSARA HEIGHTS",B.I.G. BEN'S INDEPENDENT GROCER BENS INDEPENDENT GROCER SDN. BHD,12/03/18,53.50
X51005444037,SROIE,train,0.26345230580021545,0.791902505808215,0.0016252941185563863,0.07682296994012276,4,3.0,4.0,1.0,0.0,NANDO'S CHICKENLAND MALAYSIA,PERI-PERI CHICKEN NANDO'S CHICKENLAND MALAYSIA SDN BHD,28 MAR 18,129.30
X51005444045,SROIE,train,0.8434814215790635,0.9517181741971636,0.003729488430731731,0.25806942082526363,4,4.0,4.0,0.0,0.0,TAMAN BERKELEY,"99 SPEED MART S/B (519537-X) LOT P.T. 2811,JALAN ANGSA, TAMAN BERKELEY",19-03-18,RM11.40
X51005447832,SROIE,train,0.7921030202294341,0.937560112943991,0.0019081331110490929,0.3108739898267803,4,4.0,4.0,0.0,0.0,"LOT 485,TMN LEMBAH KERAMAT",PETRODELI ENTERPRISE,26/02/18,85.54
X51005447833,SROIE,train,0.7942936941170926,0.9275946824700889,0.00026509970403398864,0.30013115320552347,4,4.0,4.0,0.0,0.0,"176 JLN SUNGEI BESI,",SUN WONG KUT SDN BHD,21/02/18,88.17
X51005447839,SROIE,train,0.809510530566034,0.9485496511882321,9.374243126192283e-08,0.03135519207971871,4,3.0,4.0,1.0,0.0,JIAWEI HOUSE,RESTAURANT JIAWEI,DATE : 9/3/2018 20:54:50,65.20
X51005447840,SROIE,train,0.7622745057428,0.9305237205676449,0.0017513852319136491,0.2597802930655807,4,2.0,4.0,1.0,0.0,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR SDN BHD,14/03/2018,4.00
X51005447848,SROIE,train,0.754736932554229,0.9332495560203815,0.000815801578407771,0.25523177818445303,4,2.0,4.0,1.0,0.0,LIAN CHI PU TIAN VEGETARIAN,LIAN CHI PU TIAN VEGETARIAN RESTAURANT SDN BHD,06/01/18,47.80
X51005447850,SROIE,train,0.8637074592270811,0.9573875311654372,0.002104759678863144,0.29844014741765723,4,1.0,3.0,1.0,1.0,PASARAYA BORONG PINTAR,PASARAYA BORONG PINTAR SDN BHD,04/03/2018,1.00
X51005447852,SROIE,train,0.7114885189525268,0.9108178650760446,0.004630589786164152,0.2747370501637489,4,4.0,4.0,0.0,0.0,TAMAN BERKELEY,"99 SPEED MART S/B (519537-X) LOT P.T. 2811,JALAN ANGSA, TAMAN BERKELEY",20-02-18,RM9.90
X51005447853,SROIE,train,0.884781400689484,0.9473884265872398,0.005063594974827557,0.27953253619812146,4,4.0,4.0,0.0,0.0,TAMAN BERKELEY,"99 SPEED MART S/B (519537-X) LOT P.T. 2811,JALAN ANGSA, TAMAN BERKELEY",05-02-18,141.50
X51005447860,SROIE,train,0.8820955641087469,0.9675671448566544,0.0004993493689593453,0.2526426214474845,4,4.0,4.0,0.0,0.0,"3RD FLR,AEON TAMAN MALURI SC","AEON CO. (M) BHD (126926-H) 3RD FLR,AEON TAMAN MALURI SC JLN JEJAKA,TAMAN MALURI",19/02/2018,17.70
X51005447861,SROIE,train,0.8277442142161462,0.9402752936328748,0.001075149877930115,0.014401924081069911,4,3.0,4.0,1.0,0.0,"NO 8,JALAN 7/118B,DESA TUN RAZAK",POPULAR BOOK CO. (M) SDN BHD,01/03/18,19.78
X51005453729,SROIE,train,0.8862691871376399,0.9577180888115479,0.00019353603933935926,0.25091274916915646,4,3.0,4.0,1.0,0.0,"NO.32 & 33,JALAN SR 1/9. SEKSYEN 9. TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN,SELANGOR",LIAN HING STATIONERY SDN BHD,27/03/2018,100.00
X51005453801,SROIE,train,0.8532281993130691,0.937638919116889,0.0005007685341757995,0.2581007328266559,4,3.0,4.0,1.0,0.0,GL HANDICRAFT & TAIL ORING,GL HANDICRAFT & TAIL ORING,20/03/2018,102.00
X51005453802,SROIE,train,0.9173662052705135,0.9675885792738437,0.0003038400198257518,0.24437788406061683,4,4.0,4.0,0.0,0.0,"NO.32 & 33,JALAN SR 1/9,SEKSYEN 9, TAMAN SERDANG RAYA. 43300 SERI KEMBANGAN,SELANGOR",LIAN HING STATIONERY SDN BHD,30/03/2018,159.00
X51005453804,SROIE,train,0.8288287090913461,0.9479428480050236,8.260440352803045e-05,0.2487965302359431,4,4.0,4.0,0.0,0.0,"NO.32 & 33,JALAN SR 1/9,SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN,SELANGOR",3180303 LIAN HING STATIONERY SDN BHD,27/03/2018,12.00
X51005568827,SROIE,train,0.8273564512484476,0.9471057340725901,0.0017797042912923722,0.03266618818558359,4,4.0,4.0,0.0,0.0,"NO. 1 JALAN PUTERI 7/10 BANDAR PUTERI,47100 PUCHONG",BANH MI CAFE DIMILIKI: BANH MI CAFE SDN BHD 1110644-W,29-10-2017,23.25
X51005568829,SROIE,train,0.7563826748637336,0.931801364367077,0.004381812425720222,0.260251041858075,4,3.0,4.0,1.0,0.0,NO.22 JALAN PUTERI 2/4,THAI DELICIOUS RESTAURANT,02/02/2017,100.00
X51005568880,SROIE,train,0.730115332525573,0.9147110836796049,0.0003908083660537631,0.022736132161410905,4,3.0,4.0,1.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN,SELANGOR",MR.D.I.Y(M)SDN BHD,11-22-31,RM 15.90
X51005568881,SROIE,train,0.8272199183665228,0.9498265273114945,0.0027483508960938208,0.2506159597455403,4,4.0,4.0,0.0,0.0,"NO 37,JALAN MANIS 7,TAMAN SEGAR,",HON HWA HARDWARE TRADING,21/09/2017,10.40
X51005568884,SROIE,train,0.5589156815136883,0.8783767737289341,0.00466590025042668,0.26497550920472535,4,4.0,4.0,0.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN,SELANGOR",MR. D.I.Y. SDN BHD,24-11-17,RM 3.90
X51005568891,SROIE,train,0.9039108506443196,0.9673192786955124,0.002942275607792477,0.2528024279242279,4,3.0,4.0,1.0,0.0,"NO 37,JALAN MANIS 7,TAMAN SEGAR,",HON HWA HARDWARE TRADING,08/02/2017,12.00
X51005568898,SROIE,train,0.6425292281594148,0.9023901110194544,0.0011035095143965279,0.2683422255238923,4,3.0,4.0,1.0,0.0,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,VIVOPAC MARKETING SDN BHD (1070687-M) 14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,30/05/2017,17.75
X51005568899,SROIE,train,0.5994540697083206,0.8837486057468538,0.004667455963328848,0.2432066312352777,4,4.0,4.0,0.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KWANSAN PERINDUSTRIAN BLANKONG, 43300 SERI KEMBANGAN,SELANGOR",MR. D.I.Y. SDN BHD,18-10-17,RM 5.90
X51005568900,SROIE,train,0.6323049810503215,0.8938313084773236,0.004270354300329848,0.2555329636967056,4,3.0,4.0,1.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KWANSAN PERINDUSTRIAN BLANKONG, 43300 SERI KEMBANGAN,SELANGOR",MR. D.I.Y. SDN BHD,28-12-17,RM 10.00
X51005568911,SROIE,train,0.7437981890173784,0.9215819311684477,0.0003294830151423511,0.24803639297812782,4,4.0,4.0,0.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KWANSAN PERINDUSTRIAN BALANKONG, 43300 SERI KEMBANGAN,SELANGOR",MR. D.I.Y. (KUCHAI) SDN BHD,08-03-17,RM 37.80
X51005568911(1),SROIE,train,0.7437981890173784,0.9215819311684477,0.0003294830151423511,0.24803639297812782,4,4.0,4.0,0.0,0.0,"LOT 1851-A & 1851-B,JALAN KPB 6, KWANSAN PERINDUSTRIAN BALANKONG, 43300 SERI KEMBANGAN,SELANGOR",MR. D.I.Y. (KUCHAI) SDN BHD,08-03-17,RM 37.80
X51005568913,SROIE,train,0.9122466483316787,0.9750995809164192,0.0033122350734835493,0.010992680900286489,4,4.0,4.0,0.0,0.0,NO 2A JALAN COCHRANE,IKANO HANDEL SDN BHD,27/07/17,538.00
X51005568913(1),SROIE,train,0.9122466483316787,0.9750995809164192,0.0033122350734835493,0.010992680900286489,4,4.0,4.0,0.0,0.0,NO 2A JALAN COCHRANE,IKANO HANDEL SDN BHD,27/07/17,538.00
X51005568914,SROIE,train,0.7853433024893672,0.9432733848206806,0.002635031175293956,0.011307062723348638,4,3.0,4.0,1.0,0.0,NO 2A JALAN COCHRANE,IKANO HANDEL SDN BHD,09/08/17,90.00
X51005568914(1),SROIE,train,0.7853433024893672,0.9432733848206806,0.002635031175293956,0.011307062723348638,4,3.0,4.0,1.0,0.0,NO 2A JALAN COCHRANE,IKANO HANDEL SDN BHD,09/08/17,90.00
X51005577192,SROIE,train,0.5953517264161154,0.8976389618803575,0.006604610291246371,0.009537194812221178,4,3.0,4.0,1.0,0.0,"TAMAN PERINDUSTRIAN BUKIT SERDANG,",FY EAGLE ENTERPRISE,CS00031180 DATE: 04/12/2017,6.60
X51005577192(1),SROIE,train,0.5953517264161154,0.8976389618803575,0.006604610291246371,0.009537194812221178,4,3.0,4.0,1.0,0.0,"TAMAN PERINDUSTRIAN BUKIT SERDANG,",FY EAGLE ENTERPRISE,CS00031180 DATE: 04/12/2017,6.60
